S|nel |mez|zo |del |cam|min |di |no|stra |vi|taE
S|mi |ri|tro|vai |per |u|na |sel|va o|scu|raE
S|ché |la |di|rit|ta |via |e|ra |smar|ri|taE
S|ahi |quan|to a |dir |qual |e|ra è |co|sa |du|raE
S|e|sta |sel|va |sel|vag|gia e |a|spra e |for|teE
S|che |nel |pen|sier |ri|no|va |la |pa|u|raE
S|tan|t' è |a|ma|ra |che |po|co è |più |mor|teE
S|ma |per |trat|tar |del |ben |ch' i' |vi |tro|vaiE
S|di|rò |de |l' al|tre |co|se |ch' i' |v' ho |scor|teE
S|io |non |so |ben |ri|dir |com' |i' |v' in|traiE
S|tan|t' e|ra |pien |di |son|no |a |quel |pun|toE
S|che |la |ve|ra|ce |via |ab|ban|do|naiE
S|ma |poi |ch' i' |fui |al |piè |d' un |col|le |giun|toE
S|là |do|ve |ter|mi|na|va |quel|la |val|leE
S|che |m' a|vea |di |pa|u|ra il |cor |com|pun|toE
S|guar|dai |in |al|to e |vi|di |le |sue |spal|leE
S|ve|sti|te |già |de' |rag|gi |del |pia|ne|taE
S|che |me|na |drit|to al|trui |per |o|gne |cal|leE
S|al|lor |fu |la |pa|u|ra un |po|co |que|taE
S|che |nel |la|go |del |cor |m' e|ra |du|ra|taE
S|la |not|te |ch' i' |pas|sai |con |tan|ta |pie|taE
S|e |co|me |quei |che |con |le|na af|fan|na|taE
S|u|sci|to |fuor |del |pe|la|go a |la |ri|vaE
S|si |vol|ge a |l' ac|qua |pe|ri|glio|sa e |gua|taE
S|co|sì |l' a|ni|mo |mio |ch' an|cor |fug|gi|vaE
S|si |vol|se a |re|tro a |ri|mi|rar |lo |pas|soE
S|che |non |la|sciò |già |mai |per|so|na |vi|vaE
S|poi |ch' èi |po|sa|to un |po|co il |cor|po |las|soE
S|ri|pre|si |via |per |la |piag|gia |di|ser|taE
S|sì |che ' l |piè |fer|mo |sem|pre e|ra ' l |più |bas|soE
S|ed |ec|co |qua|si al |co|min|ciar |de |l' er|taE
S|u|na |lon|za |leg|ge|ra e |pre|sta |mol|toE
S|che |di |pel |ma|co|la|to e|ra |co|ver|taE
S|e |non |mi |si |par|tia |di|nan|zi al |vol|toE
S|an|zi ' m|pe|di|va |tan|to il |mio |cam|mi|noE
S|ch' i' |fui |per |ri|tor|nar |più |vol|te |vòl|toE
S|tem|p' e|ra |dal |prin|ci|pio |del |mat|ti|noE
S|e ' l |sol |mon|ta|va ' n |sù |con |quel|le |stel|leE
S|ch' e|ran |con |lui |quan|do |l' a|mor |di|vi|noE
S|mos|se |di |pri|ma |quel|le |co|se |bel|leE
S|sì |ch' a |be|ne |spe|rar |m' e|ra |ca|gio|neE
S|di |quel|la |fie|ra a |la |ga|et|ta |pel|leE
S|l' o|ra |del |tem|po e |la |dol|ce |sta|gio|neE
S|ma |non |sì |che |pa|u|ra |non |mi |des|seE
S|la |vi|sta |che |m' ap|par|ve |d' un |le|o|neE
S|que|sti |pa|rea |che |con|tra |me |ve|nis|seE
S|con |la |te|st' al|ta e |con |rab|bio|sa |fa|meE
S|sì |che |pa|rea |che |l' ae|re |ne |tre|mes|seE
S|ed |u|na |lu|pa |che |di |tut|te |bra|meE
S|sem|bia|va |car|ca |ne |la |sua |ma|grez|zaE
S|e |mol|te |gen|ti |fé |già |vi|ver |gra|meE
S|que|sta |mi |por|se |tan|to |di |gra|vez|zaE
S|con |la |pa|u|ra |ch' u|scia |di |sua |vi|staE
S|ch' io |per|dei |la |spe|ran|za |de |l' al|tez|zaE
S|e |qual |è |quei |che |vo|lon|tie|ri ac|qui|staE
S|e |giu|gne ' l |tem|po |che |per|der |lo |fa|ceE
S|che ' n |tut|ti |suoi |pen|sier |pian|ge e |s' at|tri|staE
S|tal |mi |fe|ce |la |be|stia |san|za |pa|ceE
S|che |ve|nen|do|mi ' n|con|tro a |po|co a |po|coE
S|mi |ri|pi|gne|va |là |do|ve ' l |sol |ta|ceE
S|men|tre |ch' i' |ro|vi|na|va in |bas|so |lo|coE
S|di|nan|zi a |li oc|chi |mi |si |fu |of|fer|toE
S|chi |per |lun|go |si|len|zio |pa|rea |fio|coE
S|quan|do |vi|di |co|stui |nel |gran |di|ser|toE
S|mi|se|re|re |di |me |gri|dai |a |luiE
S|qual |che |tu |sii |od |om|bra od |o|mo |cer|toE
S|ri|spuo|se|mi |non |o|mo o|mo |già |fuiE
S|e |li |pa|ren|ti |miei |fu|ron |lom|bar|diE
S|man|to|a|ni |per |pa|trï|a am|be|duiE
S|nac|qui |sub |iu|lio an|cor |che |fos|se |tar|diE
S|e |vis|si a |ro|ma |sot|to ' l |buo|no au|gu|stoE
S|nel |tem|po |de |li |dèi |fal|si e |bu|giar|diE
S|po|e|ta |fui |e |can|tai |di |quel |giu|stoE
S|fi|gliuol |d' an|chi|se |che |ven|ne |di |tro|iaE
S|poi |che ' l |su|per|bo i|lï|ón |fu |com|bu|stoE
S|ma |tu |per|ché |ri|tor|ni a |tan|ta |no|iaE
S|per|ché |non |sa|li il |di|let|to|so |mon|teE
S|ch' è |prin|ci|pio e |ca|gion |di |tut|ta |gio|iaE
S|or |se' |tu |quel |vir|gi|lio e |quel|la |fon|teE
S|che |span|di |di |par|lar |sì |lar|go |fiu|meE
S|ri|spuo|s' io |lui |con |ver|go|gno|sa |fron|teE
S|o |de |li al|tri |po|e|ti o|no|re e |lu|meE
S|va|glia|mi ' l |lun|go |stu|dio e ' l |gran|de a|mo|reE
S|che |m' ha |fat|to |cer|car |lo |tuo |vo|lu|meE
S|tu |se' |lo |mio |ma|e|stro e ' l |mio |au|to|reE
S|tu |se' |so|lo |co|lui |da |cu' |io |tol|siE
S|lo |bel|lo |sti|lo |che |m' ha |fat|to o|no|reE
S|ve|di |la |be|stia |per |cu' |io |mi |vol|siE
S|a|iu|ta|mi |da |lei |fa|mo|so |sag|gioE
S|ch' el|la |mi |fa |tre|mar |le |ve|ne e i |pol|siE
S|a |te |con|vien |te|ne|re al|tro |vï|ag|gioE
S|ri|spuo|se |poi |che |la|gri|mar |mi |vi|deE
S|se |vuo' |cam|par |d' e|sto |lo|co |sel|vag|gioE
S|ché |que|sta |be|stia |per |la |qual |tu |gri|deE
S|non |la|scia al|trui |pas|sar |per |la |sua |viaE
S|ma |tan|to |lo ' m|pe|di|sce |che |l' uc|ci|deE
S|e |ha |na|tu|ra |sì |mal|va|gia e |riaE
S|che |mai |non |em|pie |la |bra|mo|sa |vo|gliaE
S|e |do|po ' l |pa|sto ha |più |fa|me |che |priaE
S|mol|ti |son |li a|ni|ma|li a |cui |s' am|mo|gliaE
S|e |più |sa|ran|no an|co|ra in|fin |che ' l |vel|troE
S|ver|rà |che |la |fa|rà |mo|rir |con |do|gliaE
S|que|sti |non |ci|be|rà |ter|ra |né |pel|troE
S|ma |sa|pï|en|za a|mo|re |e |vir|tu|teE
S|e |sua |na|zion |sa|rà |tra |fel|tro e |fel|troE
S|di |quel|la u|mi|le i|ta|lia |fia |sa|lu|teE
S|per |cui |mo|rì |la |ver|gi|ne |cam|mil|laE
S|eu|ria|lo e |tur|no e |ni|so |di |fe|ru|teE
S|que|sti |la |cac|ce|rà |per |o|gne |vil|laE
S|fin |che |l' av|rà |ri|mes|sa |ne |lo ' n|fer|noE
S|là |on|de ' n|vi|dia |pri|ma |di|par|til|laE
S|on|d' io |per |lo |tuo |me' |pen|so e |di|scer|noE
S|che |tu |mi |se|gui e |io |sa|rò |tua |gui|daE
S|e |trar|rot|ti |di |qui |per |lo|co et|ter|noE
S|o|ve u|di|rai |le |di|spe|ra|te |stri|daE
S|ve|drai |li an|ti|chi |spi|ri|ti |do|len|tiE
S|ch' a |la |se|con|da |mor|te |cia|scun |gri|daE
S|e |ve|de|rai |co|lor |che |son |con|ten|tiE
S|nel |fo|co |per|ché |spe|ran |di |ve|ni|reE
S|quan|do |che |sia |a |le |be|a|te |gen|tiE
S|a |le |quai |poi |se |tu |vor|rai |sa|li|reE
S|a|ni|ma |fia |a |ciò |più |di |me |de|gnaE
S|con |lei |ti |la|sce|rò |nel |mio |par|ti|reE
S|ché |quel|lo im|pe|ra|dor |che |là |sù |re|gnaE
S|per|ch' i' |fu' |ri|bel|lan|te a |la |sua |leg|geE
S|non |vuol |che ' n |sua |cit|tà |per |me |si |ve|gnaE
S|in |tut|te |par|ti im|pe|ra e |qui|vi |reg|geE
S|qui|vi è |la |sua |cit|tà |e |l' al|to |seg|gioE
S|oh |fe|li|ce |co|lui |cu' |i|vi e|leg|geE
S|e |io |a |lui |po|e|ta io |ti |ri|cheg|gioE
S|per |quel|lo |dio |che |tu |non |co|no|sce|stiE
S|ac|ciò |ch' io |fug|ga |que|sto |ma|le e |peg|gioE
S|che |tu |mi |me|ni |là |do|v' or |di|ce|stiE
S|sì |ch' io |veg|gia |la |por|ta |di |san |pie|troE
S|e |co|lor |cui |tu |fai |co|tan|to |me|stiE
S|al|lor |si |mos|se e |io |li |ten|ni |die|troE
S|lo |gior|no |se |n' an|da|va e |l' ae|re |bru|noE
S|to|glie|va |li a|ni|mai |che |so|no in |ter|raE
S|da |le |fa|ti|che |lo|ro e |io |sol |u|noE
S|m' ap|pa|rec|chia|va a |so|ste|ner |la |guer|raE
S|sì |del |cam|mi|no e |sì |de |la |pie|ta|teE
S|che |ri|trar|rà |la |men|te |che |non |er|raE
S|o |mu|se o |al|to in|ge|gno or |m' a|iu|ta|teE
S|o |men|te |che |scri|ve|sti |ciò |ch' io |vi|diE
